"place","check_in","check_out","hotel name","no_rooms","group_adults","hotel_link"
"Singapore","10/5/2017","11/5/2017","Orchard Hotel Singapore","1","2","https://www.booking.com/hotel/sg/orchard-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2512701_95148949_0_2_0;all_sr_blocks=2512701_95148949_0_2_0;room1=A%2CA;hpos=21;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X21;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Fairmont Singapore","1","2","https://www.booking.com/hotel/sg/fairmont-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2628802_100269279_2_2_0;all_sr_blocks=2628802_100269279_2_2_0;room1=A%2CA;hpos=22;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X22;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Crowne Plaza Changi Airport","1","2","https://www.booking.com/hotel/sg/crowne-plaza-changi-airport.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2514715_99722465_0_42_0;all_sr_blocks=2514715_99722465_0_42_0;room1=A%2CA;hpos=23;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X23;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Fraser Suites Singapore","1","2","https://www.booking.com/hotel/sg/fraser-suites-river-valley-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;soh=1;highlighted_blocks=;all_sr_blocks=;room1=A%2CA;soldout=0%2C0;hpos=24;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X24;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Park Regis Singapore","1","2","https://www.booking.com/hotel/sg/park-regis-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=26270407_91469265_0_2_0;all_sr_blocks=26270407_91469265_0_2_0;room1=A%2CA;hpos=25;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X25;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Oasia Hotel Novena, Singapore by Far East Hospitality","1","2","https://www.booking.com/hotel/sg/oasia-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=29697601_91309112_0_2_0;all_sr_blocks=29697601_91309112_0_2_0;room1=A%2CA;hpos=26;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X26;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Holiday Inn Express Singapore Orchard Road","1","2","https://www.booking.com/hotel/sg/holiday-inn-express-singapore-orchard-road.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=57124103_98356994_0_1_0;all_sr_blocks=57124103_98356994_0_1_0;room1=A%2CA;hpos=27;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X27;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Goodwood Park Hotel","1","2","https://www.booking.com/hotel/sg/goodwood-park.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=4550401_91287883_2_2_0;all_sr_blocks=4550401_91287883_2_2_0;room1=A%2CA;hpos=28;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X28;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Novotel Clarke Quay","1","2","https://www.booking.com/hotel/sg/clarke-quay-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2501825_95456842_0_2_0;all_sr_blocks=2501825_95456842_0_2_0;room1=A%2CA;hpos=29;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X29;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Oasia Hotel Downtown, Singapore by Far East Hospitality","1","2","https://www.booking.com/hotel/sg/oasia-downtown-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=171058902_90117020_0_2_0;all_sr_blocks=171058902_90117020_0_2_0;room1=A%2CA;hpos=30;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X30;from=searchresults;highlight_room=#hotelTmpl"
